MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924801,0.2300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.0300000,0.0221476,-0.0157030,-0.2304834
MsgID.LOCAL_VELOCITY,24.0300000,0.0000056,-0.0000069,0.0000099
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924801,0.2290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.2810000,0.0151053,0.0319802,-0.2290412
MsgID.LOCAL_VELOCITY,24.2810000,0.0000133,0.0000060,0.0000203
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924789,0.2090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.5310000,-0.1111742,0.0334617,-0.2095124
MsgID.LOCAL_VELOCITY,24.5310000,0.0000280,-0.0000236,0.0000116
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924785,0.1800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.7810000,-0.1578570,0.1442321,-0.1806529
MsgID.LOCAL_VELOCITY,24.7810000,-0.0000086,-0.0000052,0.0000130
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924797,0.1480000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.0310000,-0.0273099,0.1217741,-0.1485925
MsgID.LOCAL_VELOCITY,25.0310000,-0.0000233,-0.0000182,0.0000020
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924800,0.1130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.2810000,-0.0489660,0.3425603,-0.1138289
MsgID.LOCAL_VELOCITY,25.2810000,0.0000131,0.0000013,0.0000074
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924801,0.0940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0500000
MsgID.LOCAL_POSITION,25.5310000,-0.0366925,0.3884407,-0.0942114
MsgID.LOCAL_VELOCITY,25.5310000,-0.0011282,-0.0061632,-0.0554727
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924795,0.1030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,-0.1900000
MsgID.LOCAL_POSITION,25.7820000,-0.1045271,0.3983855,-0.1031447
MsgID.LOCAL_VELOCITY,25.7820000,-0.0038512,-0.0226447,-0.1955078
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974476,37.7924787,0.1230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0300000,-0.0200000
MsgID.LOCAL_POSITION,26.0320000,-0.1918010,0.4987881,-0.1238025
MsgID.LOCAL_VELOCITY,26.0320000,0.0041586,-0.0333481,-0.0271527
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924789,0.1210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0400000,0.0200000
MsgID.LOCAL_POSITION,26.2820000,-0.1708179,0.4340650,-0.1210619
MsgID.LOCAL_VELOCITY,26.2820000,0.0138259,-0.0441190,0.0225189
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924806,0.1240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0400000,0.0700000
MsgID.LOCAL_POSITION,26.5320000,0.0233810,0.4312799,-0.1242745
MsgID.LOCAL_VELOCITY,26.5320000,0.0115836,-0.0454634,0.0715347
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924809,0.1290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0400000,0.0500000
MsgID.LOCAL_POSITION,26.7820000,0.0588647,0.2322291,-0.1292174
MsgID.LOCAL_VELOCITY,26.7820000,-0.0004178,-0.0435847,0.0554178
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974520,37.7924789,0.1240000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0200000,0.0900000
MsgID.LOCAL_POSITION,27.0320000,-0.1740307,0.1150266,-0.1243488
MsgID.LOCAL_VELOCITY,27.0320000,-0.0108451,-0.0266112,0.0969819
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924801,0.1270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0100000
MsgID.LOCAL_POSITION,27.2820000,-0.0409683,0.1266349,-0.1271430
MsgID.LOCAL_VELOCITY,27.2820000,0.0015031,0.0005742,0.0127716
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924805,0.1310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.5320000,0.0081226,0.3144429,-0.1319486
MsgID.LOCAL_VELOCITY,27.5320000,-0.0000722,-0.0001272,-0.0053862
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924808,0.1290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.7820000,0.0434994,0.3521901,-0.1290222
MsgID.LOCAL_VELOCITY,27.7820000,0.0000341,0.0000247,0.0000013
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924795,0.1230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.0320000,-0.1064328,0.1848541,-0.1233457
MsgID.LOCAL_VELOCITY,28.0320000,-0.0011927,-0.0012459,-0.0004466
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924795,0.1180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0400000
MsgID.LOCAL_POSITION,28.2830000,-0.1062278,0.2483112,-0.1187186
MsgID.LOCAL_VELOCITY,28.2830000,-0.0027372,-0.0040467,-0.0492045
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924801,0.1190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0600000
MsgID.LOCAL_POSITION,28.5340000,-0.0362837,0.4183235,-0.1193311
MsgID.LOCAL_VELOCITY,28.5340000,-0.0010251,-0.0078924,-0.0601654
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924790,0.1220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,-0.0300000
MsgID.LOCAL_POSITION,28.7840000,-0.1560494,0.3154043,-0.1225742
MsgID.LOCAL_VELOCITY,28.7840000,-0.0059932,-0.0230743,-0.0394645
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924808,0.1230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,0.0000000
MsgID.LOCAL_POSITION,29.0340000,0.0425605,0.2583148,-0.1230547
MsgID.LOCAL_VELOCITY,29.0340000,0.0007852,-0.0275511,-0.0066521
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924804,0.1220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,0.0000000
MsgID.LOCAL_POSITION,29.2840000,0.0006604,0.2524689,-0.1220606
MsgID.LOCAL_VELOCITY,29.2840000,-0.0060875,-0.0190328,-0.0048535
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924788,0.1870000
